benefit,benefit_id
Thưởng- Nghỉ phép có lương- Căn-tin,36
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch,37
Thưởng- Giải thưởng- Khác,38
Nghỉ phép có lương- Đào tạo- Khác,39
Nghỉ phép có lương- Khác,40
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm- Xe đưa đón- Khác,41
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Căn-tin- Khác,42
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm- Khác,43
Thưởng- Chăm sóc sức khoẻ,44
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Điện thoại- Khác,45
Chăm sóc sức khoẻ- Máy tính xách tay- Cơ hội du lịch,46
Thưởng- Đào tạo- Hoạt động nhóm,47
Thưởng- Căn-tin- Khác,48
Nghỉ phép có lương- Máy tính xách tay- Điện thoại,49
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Hoạt động nhóm- Khác,50
Thưởng- Cơ hội du lịch- Xe đưa đón,51
Thưởng- Đào tạo- Hoạt động nhóm- Khác,52
Đào tạo,53
Thưởng- Nghỉ phép có lương- Cơ hội du lịch,54
Thưởng- Nghỉ phép có lương- Máy tính xách tay,55
Thưởng- Chăm sóc sức khoẻ- Xe đưa đón,56
Thưởng- Xe đưa đón- Khác,57
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm- Căn-tin- Khác,58
Khác,59
Nghỉ phép có lương- Máy tính xách tay- Hoạt động nhóm,60
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Cơ hội du lịch- Căn-tin- Khác,61
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Hoạt động nhóm- Khác,62
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay,63
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Khác,64
Chăm sóc sức khoẻ- Nghỉ phép có lương- Khác,65
Thưởng- Máy tính xách tay- Khác,66
Đào tạo- Giải thưởng,67
Thưởng- Chăm sóc sức khoẻ- Xe đưa đón- Căn-tin,68
Thưởng- Máy tính xách tay,69
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Giải thưởng- Cơ hội du lịch- Khác,70
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Khác,71
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm- Xe đưa đón- Căn-tin- Phiếu giảm giá,72
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Khác,73
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Hoạt động nhóm- Căn-tin- Khác,74
Thưởng- Máy tính xách tay- Hoạt động nhóm,75
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Giải thưởng- Máy tính xách tay- Khác,76
Chăm sóc sức khoẻ- Hoạt động nhóm- Khác,77
Thưởng- Hoạt động nhóm- Khác,78
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Hoạt động nhóm- Khác,79
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Hoạt động nhóm- Khác,80
Chăm sóc sức khoẻ,81
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay- Xe đưa đón- Khác,82
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch- Hoạt động nhóm- Xe đưa đón- Căn-tin- Khác,83
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo,84
Đào tạo- Giải thưởng- Hoạt động nhóm- Khác,85
Chăm sóc sức khoẻ- Hoạt động nhóm- Căn-tin,86
Thưởng- Nghỉ phép có lương- Xe đưa đón,87
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Khác,88
Thưởng- Nghỉ phép có lương- Cơ hội du lịch- Khác,89
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Căn-tin- Khác,90
Chăm sóc sức khoẻ- Hoạt động nhóm- Căn-tin- Khác,91
Thưởng- Nghỉ phép có lương- Giải thưởng,92
Thưởng- Nghỉ phép có lương- Khác,93
Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay,94
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Hoạt động nhóm,95
Nghỉ phép có lương- Máy tính xách tay- Điện thoại- Cơ hội du lịch- Hoạt động nhóm,96
Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Khác,97
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Khác,98
Thưởng- Chăm sóc sức khoẻ- Căn-tin,99
Máy tính xách tay- Điện thoại,100
Nghỉ phép có lương- Đào tạo- Giải thưởng- Máy tính xách tay- Hoạt động nhóm- Xe đưa đón- Căn-tin,101
Nghỉ phép có lương,102
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Khác,103
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay- Cơ hội du lịch- Căn-tin- Khác,104
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Xe đưa đón- Phiếu giảm giá- Khác,105
Chăm sóc sức khoẻ- Khác,106
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Cơ hội du lịch- Hoạt động nhóm- Khác,107
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm- Xe đưa đón,108
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Căn-tin- Khác,109
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay,110
Thưởng- Chăm sóc sức khoẻ- Căn-tin- Khác,111
Nghỉ phép có lương- Hoạt động nhóm- Khác,112
Thưởng- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Khác,113
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Xe đưa đón- Khác,114
Chăm sóc sức khoẻ- Giải thưởng- Căn-tin,115
Chăm sóc sức khoẻ- Nghỉ phép có lương- Xe đưa đón,116
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Giải thưởng- Khác,117
Thưởng- Giải thưởng- Máy tính xách tay,118
Nghỉ phép có lương- Máy tính xách tay,119
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Hoạt động nhóm,120
Nghỉ phép có lương- Xe đưa đón- Khác,121
Thưởng- Đào tạo- Máy tính xách tay- Xe đưa đón- Căn-tin,122
Thưởng- Chăm sóc sức khoẻ- Điện thoại- Xe đưa đón- Căn-tin,123
Nghỉ phép có lương- Cơ hội du lịch- Xe đưa đón,124
Thưởng- Máy tính xách tay- Căn-tin,125
Chăm sóc sức khoẻ- Máy tính xách tay- Hoạt động nhóm,126
Chăm sóc sức khoẻ- Giải thưởng- Hoạt động nhóm,127
Chăm sóc sức khoẻ- Căn-tin- Khác,128
Đào tạo- Hoạt động nhóm- Khác,129
Thưởng- Nghỉ phép có lương,130
Thưởng- Đào tạo- Cơ hội du lịch- Hoạt động nhóm,131
Chăm sóc sức khoẻ- Hoạt động nhóm,132
Đào tạo- Hoạt động nhóm,133
Đào tạo- Khác,134
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Phiếu giảm giá,135
Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Điện thoại- Khác,136
Thưởng- Cơ hội du lịch- Phiếu giảm giá,137
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Xe đưa đón- Khác,138
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Căn-tin- Khác,139
Thưởng- Giải thưởng,140
Thưởng- Giải thưởng- Hoạt động nhóm,141
Thưởng- Phiếu giảm giá- Khác,142
Chăm sóc sức khoẻ- Điện thoại- Căn-tin,143
Thưởng- Chăm sóc sức khoẻ- Giải thưởng- Hoạt động nhóm- Khác,144
Thưởng- Chăm sóc sức khoẻ- Phiếu giảm giá,145
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Hoạt động nhóm- Khác,146
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Hoạt động nhóm- Khác,147
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Khác,148
Nghỉ phép có lương- Đào tạo- Giải thưởng- Hoạt động nhóm- Khác,149
Thưởng- Đào tạo- Cơ hội du lịch- Xe đưa đón- Khác,150
Đào tạo- Giải thưởng- Cơ hội du lịch,151
Thưởng- Thư viện- Hoạt động nhóm,152
Thưởng- Chăm sóc sức khoẻ- Điện thoại- Hoạt động nhóm- Xe đưa đón- Căn-tin- Khác,153
Thưởng- Xe đưa đón,154
Thưởng- Nghỉ phép có lương- Đào tạo- Xe đưa đón- Khác,155
Thưởng- Đào tạo- Máy tính xách tay,156
Thưởng- Đào tạo- Căn-tin,157
Thưởng- Cơ hội du lịch- Khác,158
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Hoạt động nhóm- Căn-tin- Khác,159
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Xe đưa đón- Căn-tin- Khác,160
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Xe đưa đón- Căn-tin- Khác,161
Thưởng- Đào tạo- Xe đưa đón,162
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Xe đưa đón- Căn-tin,163
Thưởng- Xe đưa đón- Căn-tin,164
Đào tạo- Giải thưởng- Khác,165
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Xe đưa đón,166
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch,167
Chăm sóc sức khoẻ- Nghỉ phép có lương- Căn-tin,168
Thưởng- Hoạt động nhóm- Căn-tin,169
Thưởng- Chăm sóc sức khoẻ- Xe đưa đón- Khác,170
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Giải thưởng- Máy tính xách tay,171
Đào tạo- Cơ hội du lịch,172
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm- Căn-tin- Khác,173
Chăm sóc sức khoẻ- Giải thưởng- Máy tính xách tay,174
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Điện thoại- Hoạt động nhóm- Xe đưa đón,175
Máy tính xách tay,176
Thưởng- Nghỉ phép có lương- Hoạt động nhóm,177
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Giải thưởng- Hoạt động nhóm- Xe đưa đón- Căn-tin,178
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay- Cơ hội du lịch,179
Máy tính xách tay- Hoạt động nhóm,180
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Thư viện- Máy tính xách tay- Cơ hội du lịch- Khác,181
Thưởng- Đào tạo,182
Chăm sóc sức khoẻ- Căn-tin- Phiếu giảm giá,183
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Điện thoại- Khác,184
Chăm sóc sức khoẻ- Nghỉ phép có lương- Hoạt động nhóm,185
Thưởng- Chăm sóc sức khoẻ- Điện thoại,186
Thưởng- Đào tạo- Cơ hội du lịch- Khác,187
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay- Cơ hội du lịch- Phiếu giảm giá,188
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Điện thoại- Hoạt động nhóm- Xe đưa đón- Khác,189
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm- Khác,190
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Hoạt động nhóm,191
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Xe đưa đón- Khác,192
Thưởng- Giải thưởng- Căn-tin,193
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Giải thưởng- Máy tính xách tay- Hoạt động nhóm- Khác,194
Thưởng- Nghỉ phép có lương- Đào tạo- Khác,195
Máy tính xách tay- Điện thoại- Khác,196
Thưởng- Nghỉ phép có lương- Hoạt động nhóm- Khác,197
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay- Hoạt động nhóm- Khác,198
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Giải thưởng- Khác,199
Thưởng- Đào tạo- Giải thưởng- Hoạt động nhóm,200
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay- Xe đưa đón- Khác,201
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay- Hoạt động nhóm,202
Nghỉ phép có lương- Căn-tin,203
Máy tính xách tay- Cơ hội du lịch- Căn-tin,204
Thưởng- Chăm sóc sức khoẻ- Hoạt động nhóm- Phiếu giảm giá- Khác,205
Thưởng- Chăm sóc sức khoẻ- Hoạt động nhóm- Xe đưa đón- Khác,206
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay- Điện thoại- Hoạt động nhóm- Khác,207
Thưởng- Điện thoại- Xe đưa đón- Khác,208
Chăm sóc sức khoẻ- Đào tạo- Xe đưa đón,209
Đào tạo- Xe đưa đón- Khác,210
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Điện thoại- Cơ hội du lịch- Căn-tin,211
Chăm sóc sức khoẻ- Xe đưa đón- Khác,212
Giải thưởng- Hoạt động nhóm- Khác,213
Thưởng- Chăm sóc sức khoẻ- Hoạt động nhóm- Xe đưa đón- Phiếu giảm giá,214
Chăm sóc sức khoẻ- Nghỉ phép có lương- Hoạt động nhóm- Khác,215
Thưởng- Nghỉ phép có lương- Đào tạo- Xe đưa đón- Căn-tin- Khác,216
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch- Hoạt động nhóm- Xe đưa đón- Khác,217
Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay,218
Thưởng- Nghỉ phép có lương- Xe đưa đón- Nhà trẻ- Khác,219
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Căn-tin- Khác,220
Thưởng- Máy tính xách tay- Điện thoại- Hoạt động nhóm,221
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay- Khác,222
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm- Khác,223
Chăm sóc sức khoẻ- Máy tính xách tay- Hoạt động nhóm- Khác,224
Chăm sóc sức khoẻ- Đào tạo- Hoạt động nhóm,225
Xe đưa đón,226
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Hoạt động nhóm,227
Thưởng- Nghỉ phép có lương- Đào tạo- Giải thưởng- Hoạt động nhóm- Căn-tin,228
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Căn-tin- Khác,229
Chăm sóc sức khoẻ- Máy tính xách tay- Cơ hội du lịch- Căn-tin- Khác,230
Chăm sóc sức khoẻ- Đào tạo- Cơ hội du lịch,231
Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Khác,232
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch- Hoạt động nhóm- Khác,233
Thưởng- Đào tạo- Cơ hội du lịch- Hoạt động nhóm- Khác,234
Thưởng- Đào tạo- Phiếu giảm giá,235
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm- Khác,236
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Hoạt động nhóm- Xe đưa đón- Khác,237
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Cơ hội du lịch,238
Chăm sóc sức khoẻ- Giải thưởng- Khác,239
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Giải thưởng- Máy tính xách tay- Cơ hội du lịch- Khác,240
Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm- Khác,241
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Phiếu giảm giá- Khác,242
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Căn-tin,243
Chăm sóc sức khoẻ- Cơ hội du lịch- Căn-tin,244
Máy tính xách tay- Khác,245
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Hoạt động nhóm- Xe đưa đón- Căn-tin- Khác,246
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Xe đưa đón- Căn-tin- Khác,247
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Điện thoại- Hoạt động nhóm- Căn-tin- Khác,248
Nghỉ phép có lương- Đào tạo- Xe đưa đón,249
Hoạt động nhóm,250
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm,251
Đào tạo- Giải thưởng- Xe đưa đón,252
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Căn-tin- Khác,253
Thưởng- Cơ hội du lịch- Căn-tin,254
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Hoạt động nhóm- Phiếu giảm giá- Khác,255
Đào tạo- Điện thoại- Xe đưa đón,256
Nghỉ phép có lương- Máy tính xách tay- Căn-tin,257
Đào tạo- Máy tính xách tay- Phiếu giảm giá,258
Thưởng- Đào tạo- Giải thưởng- Hoạt động nhóm- Xe đưa đón- Khác,259
Thưởng- Giải thưởng- Cơ hội du lịch,260
Nghỉ phép có lương- Đào tạo- Máy tính xách tay,261
Thưởng- Chăm sóc sức khoẻ- Giải thưởng- Cơ hội du lịch- Khác,262
Thưởng- Máy tính xách tay- Điện thoại,263
Thưởng- Nghỉ phép có lương- Giải thưởng- Phiếu giảm giá- Khác,264
Thưởng- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm- Khác,265
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Phiếu giảm giá- Khác,266
Thưởng- Nghỉ phép có lương- Căn-tin- Khác,267
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Hoạt động nhóm- Xe đưa đón- Khác,268
Thưởng- Cơ hội du lịch- Hoạt động nhóm- Khác,269
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay- Phiếu giảm giá,270
Thưởng- Nghỉ phép có lương- Máy tính xách tay- Xe đưa đón,271
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Điện thoại- Cơ hội du lịch- Xe đưa đón- Căn-tin- Khác,272
Cơ hội du lịch- Phiếu giảm giá,273
Thưởng- Điện thoại- Cơ hội du lịch- Căn-tin,274
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch,275
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Giải thưởng- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm- Khác,276
Thưởng- Chăm sóc sức khoẻ- Giải thưởng- Máy tính xách tay,277
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Căn-tin,278
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Giải thưởng- Cơ hội du lịch- Xe đưa đón- Căn-tin- Phiếu giảm giá- Khác,279
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay- Điện thoại,280
Thưởng- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Xe đưa đón- Khác,281
Thưởng- Chăm sóc sức khoẻ- Giải thưởng- Khác,282
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Xe đưa đón- Khác,283
Thưởng- Đào tạo- Cơ hội du lịch- Căn-tin- Khác,284
Thưởng- Nghỉ phép có lương- Máy tính xách tay- Xe đưa đón- Căn-tin- Khác,285
Thưởng- Đào tạo- Giải thưởng- Cơ hội du lịch- Hoạt động nhóm- Xe đưa đón- Khác,286
Thưởng- Nghỉ phép có lương- Đào tạo- Giải thưởng- Hoạt động nhóm- Khác,287
Căn-tin,288
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Hoạt động nhóm,289
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Xe đưa đón,290
Giải thưởng- Cơ hội du lịch,291
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Căn-tin- Khác,292
Thưởng- Đào tạo- Máy tính xách tay- Khác,293
Thưởng- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch,294
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch- Xe đưa đón- Khác,295
Thưởng- Điện thoại- Khác,296
Thưởng- Chăm sóc sức khoẻ- Hoạt động nhóm- Xe đưa đón,297
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Xe đưa đón- Căn-tin- Khác,298
Hoạt động nhóm- Nhà trẻ- Khác,299
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Hoạt động nhóm,300
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Khác,301
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Giải thưởng- Cơ hội du lịch- Xe đưa đón- Căn-tin,302
Thưởng- Chăm sóc sức khoẻ- Điện thoại- Xe đưa đón,303
Thưởng- Đào tạo- Máy tính xách tay- Nhà trẻ- Khác,304
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Máy tính xách tay- Hoạt động nhóm,305
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Điện thoại- Cơ hội du lịch- Xe đưa đón- Căn-tin,306
Thưởng- Nghỉ phép có lương- Xe đưa đón- Khác,307
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Điện thoại- Hoạt động nhóm- Xe đưa đón- Căn-tin,308
Thưởng- Chăm sóc sức khoẻ- Thư viện,309
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Điện thoại- Xe đưa đón- Căn-tin- Khác,310
Thưởng- Đào tạo- Máy tính xách tay- Cơ hội du lịch,311
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch- Hoạt động nhóm,312
Thưởng- Chăm sóc sức khoẻ- Giải thưởng- Cơ hội du lịch,313
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Căn-tin,314
Chăm sóc sức khoẻ- Đào tạo- Hoạt động nhóm- Khác,315
Thưởng- Chăm sóc sức khoẻ- Máy tính xách tay- Cơ hội du lịch- Xe đưa đón- Căn-tin,316
Đào tạo- Máy tính xách tay- Hoạt động nhóm,317
Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch- Căn-tin- Khác,318
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Xe đưa đón,319
Thưởng- Giải thưởng- Cơ hội du lịch- Hoạt động nhóm,320
Thưởng- Nghỉ phép có lương- Máy tính xách tay- Khác,321
Chăm sóc sức khoẻ- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm- Phiếu giảm giá,322
Chăm sóc sức khoẻ- Cơ hội du lịch- Khác,323
Chăm sóc sức khoẻ- Cơ hội du lịch,324
Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Máy tính xách tay- Xe đưa đón- Căn-tin- Phiếu giảm giá,325
Nghỉ phép có lương- Cơ hội du lịch- Khác,326
Thưởng- Thư viện- Cơ hội du lịch,327
Thưởng- Nghỉ phép có lương- Máy tính xách tay- Cơ hội du lịch- Phiếu giảm giá- Khác,328
Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Khác,329
Thưởng- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm,330
Thưởng- Đào tạo- Cơ hội du lịch- Xe đưa đón,331
Thưởng- Đào tạo- Giải thưởng- Cơ hội du lịch- Khác,332
Thưởng- Chăm sóc sức khoẻ- Cơ hội du lịch- Hoạt động nhóm,333
Nghỉ phép có lương- Xe đưa đón- Căn-tin,334
Thưởng- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Căn-tin- Khác,335
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Máy tính xách tay- Hoạt động nhóm- Căn-tin,336
Thưởng- Hoạt động nhóm- Xe đưa đón,337
